cycle_number,PBT,PBT_std,CPMLP,CPMLP_std,CPTrans,CPTrans_std
75,0.14199328056842841,0.0023714828453291065,0.17820295281058426,0.004946200604894849,0.18012514217535205,0.005709113881077136
76,0.14104092504093602,0.002638673306441834,0.17827056508325878,0.004681211299343517,0.17859011392782562,0.004651778542962139
77,0.14108281849975204,0.002789501048429579,0.17855089564578455,0.004810537756662803,0.17877473902283836,0.005601006035298419
78,0.1412842578638708,0.0034155060761939396,0.17810634498647251,0.004579933773868303,0.17886682771080153,0.0036522950253104073
79,0.14161253202667892,0.0037023878984316725,0.17817847867847883,0.004730893205193689,0.17850280086869352,0.003296235919065689
80,0.14175161271662515,0.0034654094300321145,0.17850390063876306,0.0046961310583464476,0.1796681768026898,0.004965245069855258
81,0.14181621651195744,0.0031673734497451506,0.17853442099712627,0.0043219639757432,0.17839441299482248,0.004357319073448575
82,0.1422826457663675,0.0036992433777312448,0.17871275033749112,0.004080789621180145,0.17769337235916285,0.003836267296982603
83,0.1419953614001617,0.0032505492883287915,0.17854721859338787,0.0037655356220233456,0.18013436150600062,0.004018796868286009
84,0.14207648831392655,0.0035209923320113578,0.1787080653742902,0.003747518007381206,0.18132697151910934,0.006540563659765743
85,0.14254476500560034,0.003529567140646657,0.1786222253366685,0.003679083121203066,0.18094194870727262,0.008190275267500033
86,0.14197262435045882,0.003508942954502132,0.17801600886406801,0.003950746937406868,0.18049041951684341,0.005847385501315236
87,0.14217555248737346,0.0033549361587739495,0.1781116907516255,0.0038991547835447145,0.18297060978704918,0.007667281645033983
88,0.14226892444549474,0.003239415841977381,0.17762808749685122,0.004028432613121884,0.18126571262684932,0.005093584051357166
89,0.1418384960993714,0.003500911737215892,0.1776239627706381,0.003997297933534283,0.18227170044282057,0.005912057748369571
90,0.14181762111569826,0.0034481613190303815,0.17785047383630884,0.004072246152160508,0.18061574376694356,0.006138280969887416
91,0.14211415616967696,0.003807253993257843,0.1775966639762668,0.0037829922924816958,0.1838725177403758,0.0065854182142614
92,0.1422071027621361,0.0035936106511783206,0.17759953928479413,0.0036384853054597928,0.18242822031554182,0.006549654034830393
93,0.14217915861594202,0.004008492295066662,0.17776048791553603,0.003767519778471073,0.18301048396038957,0.005930502140861664
94,0.14209194861515206,0.004197274608119192,0.17807062580112284,0.0039472714321508616,0.1830969380671441,0.009598319301827484
95,0.14198383352790953,0.0033855715143382855,0.17851410199521897,0.003876223000732153,0.1834328168935301,0.008281727020138383
96,0.14121600233395754,0.0030944766600700777,0.17888170761126032,0.004587435589800072,0.18276633408587528,0.00915468645295284
97,0.14134608281202812,0.003416186841367023,0.17907731131367136,0.0051578387826213415,0.18019412580216332,0.008107756953440416
98,0.14176994290402414,0.0038165372197226767,0.17964024154225122,0.005837488761998888,0.18126077278595173,0.00808371440085727
99,0.14184568702341938,0.003960015173727798,0.18051279020558328,0.006399347386524017,0.18190689007058922,0.007626323951909868
100,0.143141661515518,0.003893323941351121,0.18230258902534735,0.0066410028326791696,0.18051982062750693,0.007230325740103259
